,deu,nds
9115,Welchen Film habt ihr angeschaut?,Wat för en Film hebbt ji keken?
19304,"Das „R.“ in seinem Namen hat er angenommen, um nicht mit dem Regisseur Peter Adam verwechselt zu werden.","Der „R.“ in sien Naam hett he annahmen, üm nich mit den Speelbaaas Peter Adam verwesselt to warrn."
28279,Eine Einladung zum Beten.,En beten wat to’n Amüseren.
1732,"Oh, du gehst morgen!","Oh, du geihst morgen!"
15019,Wo sind die anderen Mädchen?,Woneem sünd de ännern Deerns?
3817,Sie ist von Natur aus neugierig.,Se is vun Natuur ut neeschierig.
34998,"Er begann in den Alpen mit dem Bergsteigen, als er Student am Queens College, Oxford war.","He fung in de Alpen mit dat Bargstiegen an, as he Student an dat Queens College, Oxford weer."
10310,"Bist du eingeschlafen, Tom?","Büst du toslapen, Tom?"
12372,Die Zinsen werden schrittweise steigen.,De Tinsen schöölt Schridd för Schridd stiegen.
2795,Sind Sie Student?,Büst du Student?
9344,Wollen wir tanzen?,Wüllt wi danzen?
36109,"Anschließend war er dort Assistent, ab 1970 an der Universität Kyōto.","Ansluutend weer he dar Assistent, af 1970 an de Universität Kyōto."
395,Mein Bruder ist Ingenieur.,Mien Broder is Inschenör.
276,Wir haben jede Menge Nahrungsmittel.,Wi hebbt en Barg to Eten.
5132,Die Zahl 2010 hat zwei Nullen.,De Tall 2010 hett twee Nullen.
12537,Vermuten ist danebenliegen.,Gissen is missen.
12655,Sie ist 81 geworden.,Se is 81 worrn.
28388,Bis 1997 wurde die Punktevergabe ausschließlich durch eine Jury bestimmt.,In de Tiet vör 1997 is de Punktvergaav dör en Jury fastleggt worrn.
13673,Etwa zwei Wochen.,Üm un bi twee Weken.
6279,Das ist nicht das Gleiche.,Dat is nich dat sülve.
26590,1919: Marie Juchacz gründet in Deutschland unter dem Namen Hauptausschuss für Arbeiterwohlfahrt in der SPD die Arbeiterwohlfahrt.,1919: Marie Juchacz grünnt ünner den Naam Hööftutschuss för Arbeiterwohlfahrt in de SPD in düütsland de Arbeiterwohlfahrt.
4956,Ich konnte keinen Kontakt mit ihm aufnehmen.,Ik kunn keen Kuntakt mit em opnehmen.
4577,Die Verkehrsampel wurde rot.,De Ampel deed root warrn.
44145,Anfang der 1980er Jahre war Whalley Mitglied der Musikgruppe Cindy & The Saffrons.,Anfang vun de 1980er Johren weer Whalley Liddmaat vun de Musikgrupp Cindy & The Saffrons.
4825,Mein Fernseher ist kaputt.,Mien Kiekschapp is in ’n Dutt.
14793,Beim Karneval in Venedig haben die Leute immer Gesichtsmasken auf.,Bi ’n Karneval in Venedig hebbt de Lüüd ümmer Schabellenköpp op.
16976,Ich bin aus Sambia.,Ik bün ut Sambia.
26546,Im Auftrag des Kurfürsten begann Ursinus 1562 mit der Arbeit am Katechismus.,In’n Opdrag vun den Kurförsten hett Ursinus 1562 mit de Arbeit an’n Katechissen anfungen.
1874,"Nein, es ist genug. Ich bin satt.","Nee, dat is noog. Ik bün sadd."
14102,Kann ich heute Nacht hierbleiben?,Kann ik vonnacht hierblieven?
8114,Er ist mein jüngster Bruder.,He is mien jüngst Broder.
19915,1968 entwickelte er eine formale Sprache als Grundlage einer axiomatischen Theorie biologischer Entwicklung.,1968 entwkel he en formale Spraak as Grundlaag för en axiomaatsche Theorie för bioloogsche Entwkeln.
7517,Ich habe heute Morgen nicht Radio gehört.,Ik heff vonmorgen keen Radio höört.
38165,"Ludger Beerbaum erklärte zu dieser umstrittenen Entscheidung, dass es ganz normal sei, dass Pferde ge- und verkauft werden.","Ludger Beerbaum hett to düsse umstreeden Entscheeden seggt, dat dat ganz normal weer, dat Beer köfft un verköfft wurrn."
17539,Johnson weitete dieses Engagement massiv aus.,Johnson hett dit Engagement massiv utwiet.
4209,Das Problem liegt am Motor.,Dat Probleem liggt in ’n Motoor.
1328,Ich taufe mit Wasser.,Ik dööp mit Water.
10443,Zeigst du mir mal das Foto?,Wiest du mi mal dat Foto?
10552,Kannst du mit uns gehen?,Kannst du mit uns gahn?
15985,Ich ging aus.,Ik bün utgahn.
9506,Er duscht gerade.,He duust.
2342,Es gibt nichts schöneres als Reisen.,Gifft nix wat schöner is as Reisen.
5239,"Sie ist bleich geworden, als sie die Nachricht gehört hat.","Se deed bleek warrn, as se de Naricht hören deed."
11331,Wir werden wohl gleich die Wahrheit erfahren.,Wi schöölt woll gliek de Wohrheid to weten kriegen.
23913,Inspiriert wurde er unter anderem durch Don Byas und Count Basie.,Inspireert wurr he ünner ännern dör Don Byas un Count Basie.
4409,Alle Menschen sind gleich vor Gott.,All Minschen sünd gliek vör Godd.
3665,"Ich habe einen Freund, der in London wohnt.","Ik heff en Fründ, de in London wahnt."
41022,Hingis beendete das Jahr auf Rang 2 der Weltrangliste.,Hingis sloot dat Jahr op Rang 2 vun den Weltrangliste af.
25346,Im Grand Trianon wurde der Vertrag von Trianon ausgehandelt.,In’n Grand Trianon wurr de Verdrag vun Trianon uthannelt.
3254,Ich kannte die Frau überhaupt nicht.,Ik heff de Fro gornich kennt.
